""

	3	0
	0	1	2	3
7	-0.9	0.0	0.0	0.0
8	-0.9	0.0	0.0	0.0
9	-0.9	0.0	0.0	0.0

	1	1
	0	1	2	3
0	-1.0	-1.0	-0.9	-0.9
1	-1.0	-1.0	0.0	0.0
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	0.0	0.0	0.0
6	-0.9	0.0	0.0	0.0
7	-0.9	0.0	0.0	0.0
8	-0.9	0.0	0.0	0.0
9	-0.9	-0.9	0.0	0.0

	2	1
	0	1	2	3
0	-1.0	-1.0	-0.9	-0.9
1	-1.0	-1.0	0.0	0.0
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	0.0	0.0	0.0
6	-0.9	0.0	0.0	0.0
7	-0.9	0.0	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0

	3	1
	0	1	2	3
0	-1.0	-1.0	-0.9	-0.9
1	-1.0	-1.0	0.0	0.0
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	0.0	0.0	0.0
6	-0.9	0.0	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0

	4	0
	0	1	2	3
0	-1.0	-1.0	-1.556	-0.9
1	-1.0	-1.0	0.0	0.0
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	0.0	0.0	0.0
6	-0.9	0.0	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0

	4	1
	0	1	2	3
0	-1.0	-1.0	-1.556	-0.98
1	-1.0	-1.0	0.0	0.0
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	0.0	0.0	0.0
6	-0.9	0.0	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0

	4	2
	0	1	2	3
0	-1.0	-1.0	-1.556	-0.98
1	-1.0	-1.0	0.0	0.0
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	0.0	0.0	-0.8
6	-0.9	0.0	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	0.0	0.0	0.0	0.0

	3	2
	0	1	2	3
0	-1.0	-1.0	-1.556	-0.98
1	-1.0	-1.0	0.0	0.0
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	0.0	0.0	-0.8
6	-0.9	0.0	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	0.0	0.0	0.0
11	0.0	0.0	0.0	0.0

	2	2
	0	1	2	3
0	-1.0	-1.0	-1.556	-0.98
1	-1.0	-1.0	0.0	0.0
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	0.0	0.0	-0.8
6	-0.9	0.0	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	0.0	0.0	0.0
11	-0.8	0.0	0.0	0.0
12	0.0	0.0	0.0	0.0

	1	2
	0	1	2	3
0	-1.0	-1.0	-1.556	-0.98
1	-1.0	-1.0	0.0	0.0
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	0.0	0.0	-0.8
6	-0.9	0.0	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	0.0	0.0	0.0
11	-0.8	0.0	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	0.0	0.0	0.0	0.0

	0	2
	0	1	2	3
0	-1.0	-1.0	-1.556	-0.98
1	-1.0	-1.0	0.0	0.0
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	0.0	0.0	-0.8
6	-0.9	0.0	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	0.0	0.0	0.0
11	-0.8	0.0	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	0.0	0.0	0.0
14	0.0	0.0	0.0	0.0

	0	2
	0	1	2	3
0	-1.0	-1.0	-1.556	-0.98
1	-1.0	-1.0	0.0	0.0
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	0.0	0.0	-0.8
6	-0.9	0.0	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	0.0	0.0	0.0
11	-0.8	0.0	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	0.0	0.0	0.0
14	-0.8	0.0	0.0	0.0

	1	2
	0	1	2	3
0	-1.0	-1.0	-1.556	-0.98
1	-1.0	-1.0	0.0	0.0
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	0.0	0.0	-0.8
6	-0.9	0.0	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	0.0	0.0	0.0
11	-0.8	0.0	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	0.0	0.0	0.0
14	-0.8	-0.8	0.0	0.0

	2	2
	0	1	2	3
0	-1.0	-1.0	-1.556	-0.98
1	-1.0	-1.0	0.0	0.0
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	0.0	0.0	-0.8
6	-0.9	0.0	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	0.0	0.0	0.0
11	-0.8	0.0	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0

	4	1
	0	1	2	3
0	-1.0	-1.0	-1.556	-1.4420000000000002
1	-1.0	-1.0	0.0	0.0
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	0.0	0.0	-0.8
6	-0.9	0.0	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	0.0	0.0	0.0
11	-0.8	0.0	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0

	4	1
	0	1	2	3
0	-1.0	-1.0	-1.556	-1.4420000000000002
1	-1.0	-1.0	0.0	0.0
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	-0.7	0.0	-0.8
6	-0.9	0.0	0.0	0.0
7	-0.9	-0.9	0.0	0.0
8	-0.9	-0.9	0.0	0.0
9	-0.9	-0.9	0.0	0.0
10	-0.8	0.0	0.0	0.0
11	-0.8	0.0	0.0	0.0
12	-0.8	0.0	0.0	0.0
13	-0.8	-0.8	0.0	0.0
14	-0.8	-0.8	0.0	0.0

	4	0
	0	1	2	3
0	-1.0	-1.0	-1.556	-1.4420000000000002
1	-1.0	-1.0	0.0	0.0
2	-1.0	-1.0	0.0	0.0
3	-1.0	-1.0	0.0	0.0
4	-1.0	-1.0	0.0	0.0
5	-0.9	-0.7	-1.57136	-0.8
6	-0.9	0.0	0.0	0.0
7	-0.9	-0.9	0.0	0.0
